created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-08-08 02:04:39 CET,129646,24.625,34,7.20345
2021-08-08 02:04:58 CET,129647,24.625,34,7.19891
2021-08-08 02:05:18 CET,129648,24.625,34,7.22615
2021-08-08 02:05:37 CET,129649,24.625,32,7.22161
2021-08-08 02:06:33 CET,129650,24.75,33,7.21253
2021-08-08 02:06:53 CET,129651,24.75,34,7.19437
2021-08-08 02:07:12 CET,129652,24.6875,34,7.19891
2021-08-08 02:07:32 CET,129653,24.75,34,7.19437
2021-08-08 02:07:51 CET,129654,24.75,34,7.19437
2021-08-08 02:08:11 CET,129655,24.75,34,7.19891
2021-08-08 02:08:30 CET,129656,24.75,34,7.19891
2021-08-08 02:08:50 CET,129657,24.75,35,7.19437
2021-08-08 02:09:46 CET,129658,24.75,33,7.20799
2021-08-08 02:10:09 CET,129659,24.75,33,7.20345
2021-08-08 02:10:28 CET,129660,24.75,33,7.19437
2021-08-08 02:10:48 CET,129661,24.75,34,7.19437
2021-08-08 02:11:07 CET,129662,24.75,33,7.19891
2021-08-08 02:11:26 CET,129663,24.75,34,7.19437
2021-08-08 02:11:46 CET,129664,24.75,33,7.19891
2021-08-08 02:12:05 CET,129665,24.6875,32,7.19437
2021-08-08 02:12:25 CET,129666,24.6875,34,7.19891
2021-08-08 02:12:44 CET,129667,24.75,33,7.19891
2021-08-08 02:13:04 CET,129668,24.75,33,7.19437
2021-08-08 02:13:23 CET,129669,24.75,33,7.19891
2021-08-08 02:13:43 CET,129670,24.6875,33,7.20345
2021-08-08 02:14:02 CET,129671,24.6875,33,7.21253
2021-08-08 02:14:58 CET,129672,24.6875,32,7.19437
2021-08-08 02:15:18 CET,129673,24.6875,34,7.23069
2021-08-08 02:15:37 CET,129674,24.75,32,7.19891
2021-08-08 02:15:57 CET,129675,24.75,33,7.19891
2021-08-08 02:16:16 CET,129676,24.6875,33,7.19891
2021-08-08 02:16:36 CET,129677,24.75,31,7.23523
2021-08-08 02:16:55 CET,129678,24.75,34,7.20345
2021-08-08 02:17:15 CET,129679,24.75,33,7.22161
2021-08-08 02:17:34 CET,129680,24.6875,34,7.19891
2021-08-08 02:17:54 CET,129681,24.6875,33,7.20345
2021-08-08 02:18:50 CET,129682,24.6875,33,7.19891
2021-08-08 02:19:10 CET,129683,24.6875,34,7.19891
2021-08-08 02:19:29 CET,129684,24.75,33,7.20345
2021-08-08 02:19:49 CET,129685,24.6875,34,7.19437
2021-08-08 02:20:08 CET,129686,24.75,34,7.20345
2021-08-08 02:21:05 CET,129687,24.75,33,7.20799
2021-08-08 02:21:24 CET,129688,24.6875,33,7.20345
2021-08-08 02:21:44 CET,129689,24.6875,34,7.19891
2021-08-08 02:22:03 CET,129690,24.75,34,7.19437
2021-08-08 02:22:23 CET,129691,24.6875,34,7.19891
2021-08-08 02:22:42 CET,129692,24.6875,34,7.19891
2021-08-08 02:23:02 CET,129693,24.75,33,7.18529
2021-08-08 02:23:21 CET,129694,24.6875,35,7.21253
2021-08-08 02:23:41 CET,129695,24.6875,34,7.20345
2021-08-08 02:24:01 CET,129696,24.6875,34,7.19891
2021-08-08 02:24:20 CET,129697,24.6875,34,7.19437
2021-08-08 02:24:40 CET,129698,24.625,33,7.19891
2021-08-08 02:24:59 CET,129699,24.625,34,7.21707
2021-08-08 02:25:18 CET,129700,24.625,33,7.19891
2021-08-08 02:25:38 CET,129701,24.625,34,7.18983
2021-08-08 02:25:57 CET,129702,24.625,33,7.21253
2021-08-08 02:26:17 CET,129703,24.625,34,7.20345
2021-08-08 02:26:36 CET,129704,24.6875,34,7.20345
2021-08-08 02:26:56 CET,129705,24.6875,33,7.19891
2021-08-08 02:27:16 CET,129706,24.625,34,7.19891
2021-08-08 02:27:35 CET,129707,24.6875,33,7.20799
2021-08-08 02:27:55 CET,129708,24.625,33,7.19891
2021-08-08 02:28:14 CET,129709,24.6875,33,7.23523
2021-08-08 02:29:10 CET,129710,24.6875,34,7.19891
